INFO   | jvm 1    | 2017/02/17 12:12:07 | 2017-02-17 12:12:07 PdsPassCreate: replaced original pass list: passes <2>
INFO   | jvm 1    | 2017/02/17 12:12:07 | 2017-02-17 12:12:07 PdsPassCreate: with new pass list: passes <2>
INFO   | jvm 1    | 2017/02/17 12:12:07 | 2017-02-17 12:12:07 PdsMover Sliver processing End
INFO   | jvm 1    | 2017/02/17 12:12:08 | 2017-02-17 12:12:08 PdsPassCreate: New pass -- <<TERRA>> AOS: Mon Feb 13 20:55:00 EST 2017  LOS: Mon Feb 13 20:59:59 EST 2017
INFO   | jvm 1    | 2017/02/17 12:12:08 | 2017-02-17 12:12:08 PdsPassCreate: New pass -- <<TERRA>> AOS: Mon Feb 13 21:00:00 EST 2017  LOS: Mon Feb 13 21:04:59 EST 2017
INFO   | jvm 1    | 2017/02/17 12:12:08 | 2017-02-17 12:12:08 PdsMover Pass Creation Phase Over
INFO   | jvm 1    | 2017/02/17 12:12:08 | 2017-02-17 12:12:08 PdsMover re-listing PDS construction records
INFO   | jvm 1    | 2017/02/17 12:12:08 | 2017-02-17 12:12:08 PdsMover 2 PDS construction records re-found
INFO   | jvm 1    | 2017/02/17 12:12:08 | 2017-02-17 12:12:08 PdsMover attempting to transfer files to IS
INFO   | jvm 1    | 2017/02/17 12:12:08 | 2017-02-17 12:12:08 Send to IS Product  drl.terra.modis.pds 2017-02-13 21:00:00 2017-02-13 21:04:59
INFO   | jvm 1    | 2017/02/17 12:12:08 | 2017-02-17 12:12:08 Send to IS Product  drl.terra.modis.pds 2017-02-13 20:55:00 2017-02-13 20:59:59
INFO   | jvm 1    | 2017/02/17 12:12:08 | 2017-02-17 12:12:08 PdsMover transfer completed
INFO   | jvm 1    | 2017/02/17 12:12:08 | 2017-02-17 12:12:08 PdsMover processing ending
INFO   | jvm 1    | 2017/02/17 12:29:08 | 2017-02-17 12:29:08 PdsMover Processing Started
