STATUS | wrapper  | 2017/02/17 12:10:11 | 
STATUS | wrapper  | 2017/02/17 12:10:11 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 12:10:11 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 12:10:11 | 2017-02-17 12:10:11 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/17 12:10:11 | 2017-02-17 12:10:11 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/17 12:57:46 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 12:57:47 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 13:36:24 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 13:36:24 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 13:36:24 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 13:36:24 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 13:36:24 | 
STATUS | wrapper  | 2017/02/17 13:36:25 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 13:36:26 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 13:36:26 | 2017-02-17 13:36:26 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/17 13:36:26 | 2017-02-17 13:36:26 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/17 15:37:06 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 15:37:07 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 15:38:17 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 15:38:17 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 15:38:17 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 15:38:17 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 15:38:17 | 
STATUS | wrapper  | 2017/02/17 15:38:17 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 15:38:18 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 15:38:20 | 2017-02-17 15:38:20 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/17 15:38:20 | 2017-02-17 15:38:20 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/17 15:47:42 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 15:47:42 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 15:50:28 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 15:50:28 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 15:50:28 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 15:50:28 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 15:50:28 | 
STATUS | wrapper  | 2017/02/17 15:50:31 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 15:50:32 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 15:50:33 | 2017-02-17 15:50:32 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/17 15:50:33 | 2017-02-17 15:50:32 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/17 15:50:52 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 15:50:53 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/20 08:53:58 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/20 08:53:58 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/20 08:53:58 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/20 08:53:58 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/20 08:53:58 | 
STATUS | wrapper  | 2017/02/20 08:53:58 | Launching a JVM...
INFO   | jvm 1    | 2017/02/20 08:53:59 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/20 08:53:59 | 2017-02-20 08:53:59 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/20 08:53:59 | 2017-02-20 08:53:59 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/20 09:50:33 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/20 09:50:34 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/20 09:57:35 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/20 09:57:35 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/20 09:57:35 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/20 09:57:35 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/20 09:57:35 | 
STATUS | wrapper  | 2017/02/20 09:57:36 | Launching a JVM...
INFO   | jvm 1    | 2017/02/20 09:57:36 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/20 09:57:38 | 2017-02-20 09:57:38 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/20 09:57:38 | 2017-02-20 09:57:38 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/20 12:38:31 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/20 12:38:31 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/20 13:18:19 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/20 13:18:19 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/20 13:18:19 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/20 13:18:19 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/20 13:18:19 | 
STATUS | wrapper  | 2017/02/20 13:18:19 | Launching a JVM...
INFO   | jvm 1    | 2017/02/20 13:18:19 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/20 13:18:19 | 2017-02-20 13:18:19 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/20 13:18:19 | 2017-02-20 13:18:19 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/20 13:38:44 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/20 13:38:45 | <-- Wrapper Stopped
